iter	Passed	Remaining
897	18300	2078
898	18319	2058
899	18336	2037
900	18350	2016
901	18362	1995
902	18375	1973
903	18389	1952
904	18401	1931
905	18415	1910
906	18430	1889
907	18441	1868
908	18454	1847
909	18467	1826
910	18482	1805
911	18498	1784
912	18513	1764
913	18527	1743
914	18543	1722
915	18557	1701
916	18575	1681
917	18591	1660
918	18606	1639
919	18622	1619
920	18638	1598
921	18652	1578
922	18668	1557
923	18683	1536
924	18697	1516
925	18714	1495
926	18727	1474
927	18743	1454
928	18758	1433
929	18770	1412
930	18782	1392
931	18795	1371
932	18807	1350
933	18821	1330
934	18834	1309
935	18846	1288
936	18860	1268
937	18873	1247
938	18889	1227
939	18904	1206
940	18930	1186
941	18942	1166
942	18958	1145
943	18983	1126
944	19002	1105
945	19020	1085
946	19033	1065
947	19049	1044
948	19069	1024
949	19087	1004
950	19107	984
951	19124	964
952	19141	944
953	19161	923
954	19181	903
955	19201	883
956	19219	863
957	19234	843
958	19246	822
959	19260	802
960	19278	782
961	19290	761
962	19304	741
963	19316	721
964	19327	700
965	19337	680
966	19351	660
967	19362	640
968	19372	619
969	19384	599
970	19394	579
971	19404	558
972	19415	538
973	19428	518
974	19438	498
975	19449	478
976	19461	458
977	19472	438
978	19501	418
979	19522	398
980	19535	378
981	19549	358
982	19564	338
983	19574	318
984	19587	298
985	19615	278
986	19627	258
987	19640	238
988	19656	218
989	19672	198
990	19689	178
991	19707	158
992	19721	139
993	19735	119
994	19749	99
995	19762	79
996	19776	59
997	19791	39
998	19802	19
999	19819	0
